Position,Zone                                  ,LGA                                     ,Ward                          ,Facility                            
Ward Technical Officer,Wudil,Ajingi,Ajingi,Ajingi PHC
Ward Technical Officer ,Wudil,Ajingi,Chula,Chula HP
Ward Technical Officer,Wudil,Ajingi,Dabin-Kanawa,Dabi HP
Ward Technical Officer ,Wudil,Ajingi,Dundun,Dun Dun HP
Ward Technical Officer,Wudil,Ajingi,Gafasa,Gafasa HP
Ward Technical Officer,Wudil,Ajingi,Kunkun Rawa,Makarya PHC
Ward Technical Officer ,Wudil,Albasu,Bataiya,Bataiya HC
Ward Technical Officer ,Wudil,Albasu,Duja,Duja HP
Ward Technical Officer ,Wudil,Albasu,Gagarame,Gagarame HP
Ward Technical Officer ,Wudil,Albasu,Hungu,Hungu PHC
Ward Technical Officer ,Wudil,Albasu,Saya-Saya,Saya Saya HC
Ward Technical Officer,Bichi,Bagwai,Bagwai,Abbas PHC
Ward Technical Officer ,Bichi,Bagwai,Dangada,Dangada MPHC
Ward Technical Officer ,Bichi,Bagwai,Kiyawa,Kiyawa HC
Ward Technical Officer ,Bichi,Bagwai,Rimin Dako,Rimin Dako HP
Ward Technical Officer ,Bichi,Bagwai,Romo,Romo HC
Ward Technical Officer,Bichi,Bagwai,Wuro Bagga,Wuro Bagga MPHC
Ward Technical Officer ,Rano,Bebeji,Anadariya,Anadariya HP
Health Facility Incharge ,Rano,Bebeji,Bebeji,Bebeji GH
Ward Technical Officer ,Rano,Bebeji,Damau,Damau HP
Ward Technical Officer ,Rano,Bebeji,Durmawa,Durmawa HP
Ward Technical Officer ,Rano,Bebeji,Gargai,Gargai HP
Ward Technical Officer ,Rano,Bebeji,Kofa,Kofa HP
Ward Technical Officer ,Rano,Bebeji,Kuki,Kuki HP
Ward Technical Officer ,Rano,Bebeji,Ranka,Ranka HP
Ward Technical Officer ,Rano,Bebeji,Tariwa,Tariwa HC
Ward Technical Officer ,Rano,Bebeji,Wak,Wak HC
Ward Technical Officer,Bichi,Bichi,Danzabuwa,Danzabuwa PHC
Ward Technical Officer,Bichi,Bichi,Kwamarawa,Kwamarawa HP
Ward Technical Officer,Bichi,Bichi,Muntsira,Muntsira HP
Ward Technical Officer,Bichi,Bichi,Kau-Kau,Rimayen Rake
Ward Technical Officer,Bichi,Bichi,Saye,Saye PHC
Ward Technical Officer ,Rano,Bunkure,Barkum,Barkum HP
Ward Technical Officer ,Rano,Bunkure,Bono,Bono PHC
Ward Technical Officer ,Rano,Bunkure,Bunkure,Bunkure PHC
Ward Technical Officer ,Rano,Bunkure,Chirin,Chirin HP
Ward Technical Officer ,Rano,Bunkure,Gafan,Gafan HP
Ward Technical Officer ,Rano,Bunkure,Gwamma,Gwamma HP
Ward Technical Officer ,Rano,Bunkure,Kulluwa,Kulluwa HP
Ward Technical Officer ,Rano,Bunkure,Sanda,Sanda HP
Ward Technical Officer ,Nassarawa,Dala,Adakawa,Adakawa HP
Ward Technical Officer ,Nassarawa,Dala,Bakin Ruwa,Bakin Ruwa PHC
Ward Technical Officer ,Nassarawa,Dala,Kabuwaya,Dala PHC
Ward Technical Officer ,Nassarawa,Dala,Gwammaja,Gwammaja PHC
Ward Technical Officer ,Nassarawa,Dala,Kofar ruwa,Kofar Ruwa HP
Ward Technical Officer ,Nassarawa,Dala,Gobirawa,Kurna PHC
Ward Technical Officer ,Dawakin Tofa,Dambatta,Ajumawa,Ajumawa HP
Health Facility Incharge ,Dawakin Tofa,Dambatta,Saidawa,Dalal Mahuta HP
Ward Technical Officer ,Dawakin Tofa,Dambatta,Goron Maje,Goran Maje PHC
Ward Technical Officer ,Dawakin Tofa,Dambatta,Gwanda,Gwanda Model PHC
Ward Technical Officer ,Dawakin Tofa,Dambatta,Gwarabtawa,Gwarabjawa HP
Ward Technical Officer ,Dawakin Tofa,Dambatta,Kore,Kore Model PHC
Ward Technical Officer ,Dawakin Tofa,Dambatta,San San,San San PHC
Ward Technical Officer ,Dawakin Tofa,Dambatta,Dambatta East,Women Center HP
Ward Technical Officer,Gwale,Dawakin Kudu,Dabar Kwari,Daba PHC
Ward Technical Officer,Gwale,Dawakin Kudu,Dawakiji,Dawakiji PHC
Ward Technical Officer,Gwale,Dawakin Kudu,Dawakin Kudu,Dawakin Kudu GH
Health Facility Incharge ,Gwale,Dawakin Kudu,Fanchan,Fanchan HP
Health Facility Incharge ,Gwale,Dawakin Kudu,Tanburawa,Gada HC
Ward Technical Officer,Gwale,Dawakin Kudu,Gano ,Gano PHC
Ward Technical Officer,Gwale,Dawakin Kudu,Gurjiya,Gurjiya HP
Ward Technical Officer,Gwale,Dawakin Kudu,Jido,Jido HP
Ward Technical Officer,Gwale,Dawakin Kudu,Danbagina,Runa HP
Ward Technical Officer,Gwale,Dawakin Kudu,Yan Barau,Sarai HP
Ward Technical Officer,Gwale,Dawakin Kudu,Unguwar Duniya,Unguwar Duniya HP
Ward Technical Officer,Gwale,Dawakin Kudu,Yankatsari,Unguwar Fawa HP
Ward Technical Officer,Gwale,Dawakin Kudu,Yargaya,Yargaya HP
Ward Technical Officer,Gwale,Dawakin Kudu,Zogarawa,Zogarawa HP
Ward Technical Officer,Dawakin Tofa,Dawakin Tofa,Danguguwa,Danguguwa HP
Ward Technical Officer,Dawakin Tofa,Dawakin Tofa,Dawanau,Dawanau HC
Ward Technical Officer,Dawakin Tofa,Dawakin Tofa,Ganduje,Ganduje PHC
Ward Technical Officer,Dawakin Tofa,Dawakin Tofa,Jalli,Jalli HP
Ward Technical Officer,Dawakin Tofa,Dawakin Tofa,Gargari,Kunnawa HP
Ward Technical Officer,Dawakin Tofa,Dawakin Tofa,Kwa,Kwa HP
Ward Technical Officer,Dawakin Tofa,Dawakin Tofa,Marke,Marke PHC
Ward Technical Officer,Dawakin Tofa,Dawakin Tofa,Tattarawa,Tattarawa PHC
Ward Technical Officer ,Rano,Doguwa,Unguwar Tsohuwa,Asada HP
Ward Technical Officer ,Rano,Doguwa,Dadin Kowa,Dadin Kowa HP
Ward Technical Officer ,Rano,Doguwa,Falgore,Falgore HP
Ward Technical Officer ,Rano,Doguwa,Maraku,Maraku HP
Ward Technical Officer ,Rano,Doguwa,Riruwai,Ririwai HC
Ward Technical Officer ,Rano,Doguwa,Zainabi,Zainabi HP
Ward Technical Officer,Nassarawa,Fagge,Sabon Gari East,Jaba PHC
Ward Technical Officer,Nassarawa,Fagge,Kwachiri,Kwaciri PHC
Ward Technical Officer,Nassarawa,Fagge,Sabon Gari West,Middle road PHC
Ward Technical Officer,Nassarawa,Fagge,Rijiyar Lemo,Rijiyar Lemo PHC
Ward Technical Officer,Nassarawa,Fagge,Fagge A,Sabo Garba PHC
Ward Technical Officer,Dawakin Tofa,Gabasawa,Gabasawa,Gabasawa PHC
Ward Technical Officer ,Dawakin Tofa,Gabasawa,Garun Danga,Garun Danga
Ward Technical Officer ,Dawakin Tofa,Gabasawa,Karmami,Karmami PHC
Ward Technical Officer ,Dawakin Tofa,Gabasawa,Mekiya,Mekiya HP
Health Facility Incharge ,Dawakin Tofa,Gabasawa,Joda,Santsi HP
Ward Technical Officer,Dawakin Tofa,Gabasawa,Tarauni,Tarauni HP
Health Facility Incharge ,Dawakin Tofa,Gabasawa,Yumbu,Yama HP
Ward Technical Officer ,Dawakin Tofa,Gabasawa,Yautar Kudu,Yautar Kudu PHC
Ward Technical Officer ,Dawakin Tofa,Gabasawa,Zakirai,Zakirai PHC
Ward Technical Officer,Dawakin Tofa,Gabasawa,Zugachi,Zugachi HC
Ward Technical Officer ,Wudil,Garko,Kwas,Buda HP
Ward Technical Officer ,Wudil,Garko,Dal,Dal PHC
Ward Technical Officer ,Wudil,Garko,Garko,Garko PHC
Ward Technical Officer ,Wudil,Garko,Gurjiya,Gurjiya HP
Health Facility Incharge ,Wudil,Garko,Zakarawa,Kafir Chiri PHC
Ward Technical Officer ,Wudil,Garko,Katumari,Sanni HP
Ward Technical Officer ,Wudil,Garko,Sarina,Sarina PHC
Ward Technical Officer,Gwale,Garun Mallam,Chiromawa,Chiromawa Kwari HP
Ward Technical Officer,Gwale,Garun Mallam,Dakasoye,Dakasoye HP
Ward Technical Officer,Gwale,Garun Mallam,Dorawar Sallau,Dorawar Sallau HP
Ward Technical Officer,Gwale,Garun Mallam,Garun Babba,Garun Babba PHC
Ward Technical Officer,Gwale,Garun Mallam,Jobawa,Jobawa HP
Ward Technical Officer,Gwale,Garun Mallam,Kadawa,Kadawa HC
Ward Technical Officer,Gwale,Garun Mallam,Makwaro,Makwaro HP
Ward Technical Officer,Gwale,Garun Mallam,Yada Kwari,Yada Kwari HC
Ward Technical Officer,Gwale,Garun Mallam,Fankurun,Yanaba HP
Ward Technical Officer ,Wudil,Gaya,Balan,Balan Model HP
Ward Technical Officer,Wudil,Gaya,Gaya North,Dr Rabiu Musa Kwankwaso PHC
Ward Technical Officer ,Wudil,Gaya,Gamarya,Gamarya PHC
Health Facility Incharge ,Wudil,Gaya,Gamoji,Gamoji HP
Ward Technical Officer ,Wudil,Gaya,Maimakawa,Gidan Sarki Noma Model PHC
Ward Technical Officer,Wudil,Gaya,Wudilawa,Gungara HP
Ward Technical Officer ,Wudil,Gaya,Kademi,Kademi PHC
Ward Technical Officer ,Wudil,Gaya,Shagogo,Yanaudu HP
Ward Technical Officer,Wudil,Gaya,Kazurawa,Yankau PHC
Ward Technical Officer,Nassarawa,Gezawa,Tsamiya Babba,Abasawa BHC
Ward Technical Officer,Nassarawa,Gezawa,Babawa,Babawa MPHC
Health Facility Incharge ,Nassarawa,Gezawa,Ketawa,Danja Health Post
Health Facility Incharge ,Nassarawa,Gezawa,Zango,Daradau HP
Ward Technical Officer,Nassarawa,Gezawa,Gezawa,Gezawa HP
Ward Technical Officer,Nassarawa,Gezawa,Gawo,Gofaro MPHC
Ward Technical Officer,Nassarawa,Gezawa,Mesar Tudu,Mesa Tudu HP
Ward Technical Officer,Nassarawa,Gezawa,Tumbau,Tumbau HP
Ward Technical Officer,Nassarawa,Gezawa,Wangara,Wangara BHC
Ward Technical Officer,Nassarawa,Gezawa,Zango,Zango HC
Ward Technical Officer,Gwale,Gwale,Goron Dutse,Bayan Wreca HC
Ward Technical Officer,Gwale,Gwale,Galadanchi,Fuskar Yamma HC
Ward Technical Officer,Gwale,Gwale,Dandago,Garangamawa HPC
Health Facility Incharge,Gwale,Gwale,Gwale,Gwale MCH
Ward Technical Officer,Gwale,Gwale,Kabuga,Kabuga PHC
Ward Technical Officer,Gwale,Gwale,Gwale,Kofar Naisa HC
Ward Technical Officer,Gwale,Gwale,Sani Mai Nagge,Makota HC
Ward Technical Officer,Gwale,Gwale,Mandawari,Sabon Sara HC
Ward Technical Officer ,Bichi,Gwarzo,Getso,Getso MCH
Ward Technical Officer,Bichi,Gwarzo,Jama'a,Jamaa PHC
Health Facility Incharge ,Bichi,Gwarzo,Kara,Koya HP
Ward Technical Officer,Bichi,Gwarzo,Kutama,Kutama MPHC
Ward Technical Officer ,Bichi,Gwarzo,Unguwar Tudu,Kwami MPHC
Ward Technical Officer ,Bichi,Gwarzo,Lakwaya,Lakwaya MPHC
Ward Technical Officer,Bichi,Gwarzo,Madadi,Madadi PHC
Ward Technical Officer,Bichi,Gwarzo,Mainika,Mainika HP
Ward Technical Officer ,Bichi,Gwarzo,Sabon Birni,Sabon Birni HC
Ward Technical Officer,Bichi,Gwarzo,Gwarzo,Yar Kasuwa HP
Health Facility Incharge ,Dawakin Tofa,Kabo,Dugabau,Dugabau HC
Ward Technical Officer,Dawakin Tofa,Kabo,Durun,Durun MCH
Ward Technical Officer,Dawakin Tofa,Kabo,Garo,Garo PHC
Ward Technical Officer,Dawakin Tofa,Kabo,Godiya,Godiya PHC
Ward Technical Officer,Dawakin Tofa,Kabo,Gude,Gude HP
Ward Technical Officer,Dawakin Tofa,Kabo,Kabo,Kabo Cottage HC
Ward Technical Officer,Dawakin Tofa,Kabo,Kanwa,Kanwa HP
Ward Technical Officer,Dawakin Tofa,Kabo,Masanawa,Masanawa HC
Ward Technical Officer ,Nassarawa,Kano Municipal,Tudun Wazurchi,Emir Palace HC
Ward Technical Officer ,Nassarawa,Kano Municipal,Gandu,Gandu PHC
Ward Technical Officer ,Nassarawa,Kano Municipal,Shahuchi,Madatai HC
Ward Technical Officer ,Nassarawa,Kano Municipal,Sharada,Sharada PHC
Ward Technical Officer ,Nassarawa,Kano Municipal,Kan Karofi,Unguwar Gini PHC
Health Facility Incharge ,Nassarawa,Kano Municipal,Yakasai,Yakasai Zumunta HC
Ward Technical Officer ,Nassarawa,Kano Municipal,Zaitawa,Yan Awaki PHC
Ward Technical Officer,Rano,Karaye,Daura,Daura HP
Ward Technical Officer ,Rano,Karaye,Magajin Gari,Karaye PHC
Ward Technical Officer ,Rano,Karaye,Kurugu,Kurugu HP
Ward Technical Officer,Rano,Karaye,Magajin Hajji,Tinkis HP
Health Facility Incharge ,Rano,Karaye,Tudun Kaya,Tudun Kaya HP
Ward Technical Officer,Rano,Karaye,Turawa,Turawa PHC
Ward Technical Officer ,Rano,Karaye,Yammedi,Yammedi PHC
Ward Technical Officer,Rano,Karaye,Yola,Yola PHC
Ward Technical Officer ,Rano,Karaye,Kafin Dabga,Zungurau HP
Ward Technical Officer ,Rano,Kibiya,Durba,Durba HC
Ward Technical Officer ,Rano,Kibiya,Kibiya 2,Gunda HP
Ward Technical Officer ,Rano,Kibiya,Kadigawa,Kadigawa HP
Ward Technical Officer ,Rano,Kibiya,Kahu,Kahu HP
Ward Technical Officer ,Rano,Kibiya,Kibiya 1,Kibiya PHC
Ward Technical Officer ,Rano,Kibiya,Fammar,Kure PHC
Ward Technical Officer ,Rano,Kibiya,Fassi,Saya-Saya HC
Ward Technical Officer ,Rano,Kibiya,Tarai,Tarai PHC
Ward Technical Officer ,Rano,Kibiya,Unguwar Gai,Unguwar Gai HP
Ward Technical Officer ,Rano,Kiru,Dansoshiya,Ba'awa BHC
Ward Technical Officer ,Rano,Kiru,Badafi,Badafi HC
Ward Technical Officer ,Rano,Kiru,Bargoni,Bargoni HC
Ward Technical Officer ,Rano,Kiru,Dansoshiya,Bauda HC
Ward Technical Officer ,Rano,Kiru,Kiru,Dangora BHC
